"id","color","cores","wire_size","print","section_shape","description","status","tags","created_by","created_at","updated_at","deleted_at"
"111111111","unknown","3","0.75","","","تامین کابل توسط مشتری","",NULL,"","","",""
"120030006","white","","","معمولی","","","",NULL,"","","",""
"120030009","gray","","","معمولی","","","",NULL,"","","",""
"120030094","gray","","","","","","",NULL,"","","",""
"120030039","black","","","","","","",NULL,"","","",""
"120030042","gray","2","0.75","خاص","","","",NULL,"","","",""
"120030010","white","3","0.75","","","","",NULL,"","","",""
"120030107","gray","3","0.75","","","","",NULL,"","","",""
"120030028","gray","3","0.75","بدون چاپ","","","",NULL,"","","",""
"120030044","black","3","0.75","بدون چاپ","","","",NULL,"","","",""
"120030008","black","3","0.75","معمولی","","","",NULL,"","","",""
"120030074","gray","3","0.75","خاص","","","",NULL,"","","",""
"120030095","white","3","0.75","معمولی","","","",NULL,"","","",""
"120040048","black","3","1.00","","","","",NULL,"","","",""
"120030073","white","3","0.75","گلدیران","","","",NULL,"","","",""
"210300185","black","3","0.75","","","","",NULL,"","","",""
"210300187","black","4","0.75","","","","",NULL,"","","",""
"120030118","black","3","0.75","","","","",NULL,"","","",""
"120030119","black","2","0.75","","","","",NULL,"","","",""
"120030116","black","3","0.75","","تخت","","",NULL,"","","",""
"120040072","black","2","0.75","","تخت","","",NULL,"","","",""
"120030050","gray","2","0.75","","","","",NULL,"","","",""
"120030047","black","3","1.00","بدون چاپ","","","",NULL,"","","",""
"120030121","white","3","1.50","","","","",NULL,"","","",""
"120030011","black","2","0.75","","","","",NULL,"","","",""
"120030105","black","2","0.75","معمولی","","","",NULL,"","","",""
"120040049","white","2","0.75","","","","",NULL,"","","",""
"120030011","black","2","0.75","","","","",NULL,"","","",""
