id,name,description,status,tags,created_by,created_at,updated_at,deleted_at
1,اراک تکسوز,,,NULL,,,,
2,اسنوا,,,NULL,,,,
3,الکترو پیک,,,NULL,,,,
4,امرسان,,,NULL,,,,
5,انرژی,,,NULL,,,,
6,ایران ناسیونال,,,NULL,,,,
7,ایمر گاز,,,NULL,,,,
8,آبسال,,,NULL,,,,
9,آتش مهر آداک,,,NULL,,,,
10,آذین سریر پاکان,,,NULL,,,,
11,آرتل,,,NULL,,,,
12,آیسان خزر,,,NULL,,,,
13,برفاب,,,NULL,,,,
14,بهسار تدبیر,,,NULL,,,,
15,پارس,,,NULL,,,,
16,پاکشوما,,,NULL,,,,
17,پگاه شعله خراسا,,,NULL,,,,
18,تاکنو گاز,,,NULL,,,,
19,تکنو گاز,,,NULL,,,,
20,تکوین الکترونیک,نام دیگر = سام,,NULL,,,,
21,جود,,,NULL,,,,
22,حایر آسا,,,NULL,,,,
23,ریتون,,,NULL,,,,
24,زلال کوثر,,,NULL,,,,
25,سپید مطهر,,,NULL,,,,
26,سوریه ای,,,NULL,,,,
27,فروزان,,,NULL,,,,
28,فریدولین,,,NULL,,,,
29,کیا  صنعت کاران,,,NULL,,,,
30,گرند صنعت,,,NULL,,,,
31,گلدیران,,,NULL,,,,
32,گلسان,,,NULL,,,,
33,مادیران,,,NULL,,,,
34,مبین طاها,,,NULL,,,,
35,مطلق هرمس,,,NULL,,,,
36,مطهر ضمیر,,,NULL,,,,
37,نیکسان,,,NULL,,,,
38,هاردستون,,,NULL,,,,
39,هیمالیا,,,NULL,,,,
40,یخساران,,,NULL,,,,
