"id","user_id","department","subdepartment_id","employee_number","hire_date","description","status","tags","created_by","created_at","updated_at","deleted_at"
"1","1","7","1","1238","","","",NULL,"","2025-10-21 13:49:09","",""
"2","2","7","1","1182","","","",NULL,"","2025-10-21 13:49:09","",""
"3","3","7","1","2717","","","",NULL,"","2025-10-21 13:49:09","",""
"4","4","7","1","1433","","","",NULL,"","2025-10-21 13:49:09","",""
"5","5","7","1","2642","","","",NULL,"","2025-10-21 13:49:09","",""
"6","6","7","1","2575","","","",NULL,"","2025-10-21 13:49:09","",""
"7","7","7","2","511","","","",NULL,"","2025-10-21 13:49:09","",""
"8","8","7","2","1230","","","",NULL,"","2025-10-21 13:49:09","",""
"9","9","7","2","726","","","",NULL,"","2025-10-21 13:49:09","",""
"10","10","7","2","2011","","","",NULL,"","2025-10-21 13:49:09","",""
"11","11","7","2","2811","","","",NULL,"","2025-10-21 13:49:09","",""
"12","12","7","2","2813","","","",NULL,"","2025-10-21 13:49:09","",""
"13","13","7","2","460","","","",NULL,"","2025-10-21 13:49:09","",""
"14","14","7","5","1351","","","",NULL,"","2025-10-21 13:49:09","",""
"15","15","7","5","1485","","","",NULL,"","2025-10-21 13:49:09","",""
"16","16","7","5","1715","","","",NULL,"","2025-10-21 13:49:09","",""
"17","17","7","5","1056","","","",NULL,"","2025-10-21 13:49:09","",""
"18","18","7","1","1279","","","",NULL,"","2025-10-21 13:49:09","",""
"19","19","7","1","1304","","","",NULL,"","2025-10-21 13:49:09","",""
"20","20","7","6","1735","","","",NULL,"","2025-10-21 13:49:09","",""
"21","21","7","3","1308","","","",NULL,"","2025-10-21 13:49:09","",""
"22","22","7","3","1437","","","",NULL,"","2025-10-21 13:49:09","",""
"23","23","7","3","2157","","","",NULL,"","2025-10-21 13:49:09","",""
"24","24","7","3","2569","","","",NULL,"","2025-10-21 13:49:09","",""
"25","25","7","3","2841","","","",NULL,"","2025-10-21 13:49:09","",""
"26","26","7","3","2980","","","",NULL,"","2025-10-21 13:49:09","",""
"27","27","7","3","2595","","","",NULL,"","2025-10-21 13:49:09","",""
"28","28","7","3","2759","","","",NULL,"","2025-10-21 13:49:09","",""
"29","29","7","4","763","","","",NULL,"","2025-10-21 13:49:09","",""
"30","30","7","4","553","","","",NULL,"","2025-10-21 13:49:09","",""
"31","31","7","4","1432","","","",NULL,"","2025-10-21 13:49:09","",""
"32","32","7","4","2788","","","",NULL,"","2025-10-21 13:49:09","",""
"33","33","7","4","2795","","","",NULL,"","2025-10-21 13:49:09","",""
"34","34","7","4","2797","","","",NULL,"","2025-10-21 13:49:09","",""
"35","35","7","4","2801","","","",NULL,"","2025-10-21 13:49:09","",""
"36","36","7","4","2814","","","",NULL,"","2025-10-21 13:49:09","",""
"37","37","7","1","","","","",NULL,"","2025-10-21 13:49:09","",""
"38","38","3","","","","","",NULL,"","2025-10-21 13:49:09","",""
"39","39","5","","","","","",NULL,"","2025-10-21 13:49:09","",""
"40","40","4","","","","","",NULL,"","2025-10-21 13:49:09","",""
"41","41","6","","","","","",NULL,"","2025-10-21 13:49:09","",""
"42","42","1","","","","","",NULL,"","2025-10-21 13:49:09","",""
"43","43","7","2","","","","",NULL,"","2025-10-21 13:49:09","",""
"44","44","7","5","","","","",NULL,"","2025-10-21 13:49:09","",""
"45","45","7","3","","","","",NULL,"","2025-10-21 13:49:09","",""
