"id","production_id","quantity","order_id"
"1","4","100","6"
"2","4","",""
"3","5","1050","6"
"4","5","",""
"5","6","800","6"
"6","7","1200","5"
"7","8","1200","5"
"8","9","593","5"
"9","22","44","6"
"10","32","300","7"
"11","46","2600","21"
"12","46","300","7"
"13","49","1725","11"
"14","52","300","19"
"15","53","4050","11"
"16","54","1000","20"
"17","56","1200","19"
"18","58","2250","11"
"19","59","2000","20"
"20","60","900","13"
"21","60","400","21"
"22","64","1800","12"
"23","65","3500","13"
"24","67","1300","12"
"25","68","2200","13"
"26","70","75","11"
"27","71","900","13"
"28","72","1300","16"
"29","76","1850","8"
"30","76","100","19"
"31","77","300","9"
"32","78","1500","12"
"33","79","600","16"
"34","82","1300","15"
"35","83","1800","8"
"36","84","2850","9"
"37","85","600","10"
"38","86","1000","16"
"39","88","750","8"
"40","89","1700","9"
"41","90","400","10"
"42","91","2200","12"
"43","92","100","16"
"44","94","975","8"
"45","95","3000","9"
"46","96","600","36"
"47","97","500","13"
"48","98","800","15"
"49","99","300","8"
"50","100","1000","9"
"51","101","100","36"
"52","102","1500","15"
"53","104","3200","18"
"54","105","450","9"
"55","106","200","36"
"56","107","1500","37"
"57","109","514","14"
"58","110","450","15"
"59","112","2200","18"
"60","113","1000","9"
"61","114","1950","15"
"62","115","900","18"
"63","116","2350","9"
"64","117","1400","37"
"65","118","3450","9"
"66","119","1325","8"
"67","119","475","35"
"68","120","1800","9"
"69","121","400","36"
"70","122","100","37"
"71","123","1275","35"
"72","124","450","9"
"73","125","300","25"
"74","126","825","35"
"75","127","1350","25"
"76","128","500","9"
"77","129","3150","25"
"78","130","600","36"
"79","131","1900","9"
"80","132","975","25"
"81","133","1100","36"
"82","134","375","35"
"83","135","1050","9"
"84","136","825","25"
"85","137","700","36"
"86","140","1200","18"
"87","141","1725","25"
"88","142","2100","18"
"89","143","1575","25"
"90","144","1300","18"
"91","145","1000","29"
"92","146","400","32"
"93","147","2400","18"
"94","148","1400","28"
"95","149","1000","29"
"96","150","950","32"
"97","151","1200","18"
"98","152","1800","28"
"99","153","1000","32"
"100","154","2500","18"
"101","155","1600","28"
"102","156","2050","30"
"103","157","700","31"
"104","158","925","22"
"105","158","50","35"
"106","159","2600","28"
"107","160","800","29"
"108","161","300","30"
"109","162","1000","31"
"110","163","1600","18"
"111","164","475","22"
"112","165","100","9"
"113","166","800","28"
"114","167","550","30"
"115","168","900","31"
"116","169","1000","18"
"117","170","825","22"
"118","171","1000","28"
"119","172","400","29"
"120","173","1400","30"
"121","174","1500","31"
"122","175","3900","18"
"123","176","1275","22"
"124","177","300","26"
"125","178","400","28"
"126","179","700","29"
"127","180","400","30"
"128","181","1100","31"
"129","182","900","32"
"130","183","440","5"
"131","184","2000","18"
"132","185","900","22"
"133","186","600","26"
"134","187","300","28"
"135","188","1200","30"
"136","189","1000","31"
"137","190","250","32"
"138","191","960","5"
"139","192","2400","18"
"140","193","225","22"
"141","194","1200","26"
"142","195","500","27"
"143","196","1450","30"
"144","197","1600","31"
"145","198","1760","5"
"146","199","2700","18"
"147","200","1275","22"
"148","201","500","24"
"149","202","1200","26"
"150","203","1500","27"
"151","204","1350","30"
"152","205","1400","31"
"153","206","450","32"
"154","207","200","5"
"155","208","750","6"
"156","209","1900","18"
"157","210","300","22"
"158","211","2550","23"
"159","212","800","26"
"160","213","1500","27"
"161","214","950","30"
"162","215","800","31"
"163","216","2400","33"
"164","217","300","22"
"165","218","450","23"
"166","219","1700","26"
"167","220","200","27"
"168","221","1800","30"
"169","222","1600","31"
"170","223","800","17"
"171","224","2400","33"
"172","225","1200","22"
"173","226","100","25"
"174","227","400","26"
"175","228","600","27"
"176","229","1550","30"
"177","230","2200","31"
"178","231","49","5"
"179","232","64","6"
"180","233","1400","17"
"181","234","2100","33"
"182","235","450","22"
"183","236","2500","31"
"184","237","1300","17"
"185","238","2800","18"
"186","239","1500","22"
"187","240","1200","26"
"188","241","500","30"
"189","242","1200","31"
"190","243","1200","17"
"191","244","2400","18"
"192","245","1050","22"
"193","246","900","26"
"194","247","2000","30"
"195","248","1100","31"
"196","249","2300","17"
"197","250","1700","33"
"198","251","750","22"
"199","252","4800","30"
"200","253","1400","31"
"201","254","1900","17"
"202","255","1400","33"
"203","256","1100","18"
"204","257","300","22"
"205","258","2600","30"
"206","259","2200","18"
"207","260","150","22"
"208","261","500","40"
"209","262","2700","30"
"210","263","1300","17"
"211","264","1900","18"
"212","265","1200","41"
"213","266","5200","30"
"214","267","950","17"
"215","268","700","41"
"216","269","1300","42"
"217","270","2900","30"
"218","271","400","17"
"219","272","400","18"
"220","273","200","41"
"221","274","700","42"
"222","275","2250","30"
"223","276","700","31"
"224","277","250","17"
"225","278","200","33"
"226","279","1300","18"
"227","280","100","27"
"228","280","700","42"
"229","281","1500","30"
"230","282","400","31"
"231","283","200","33"
"232","284","1800","34"
"233","284","400","18"
"234","285","500","38"
"235","285","100","22"
"236","286","200","42"
"237","289","2400","30"
"238","291","400","31"
"239","294","1000","4"
"240","295","225","38"
"241","296","300","39"
"242","297","800","41"
"243","298","900","42"
"244","299","1150","30"
"245","300","200","31"
"246","301","500","45"
"247","302","600","4"
"248","303","1100","34"
"249","304","600","41"
"250","305","600","42"
"251","306","1500","30"
"252","307","1000","34"
"253","308","600","41"
"254","309","700","42"
"255","310","1200","30"
"256","311","400","31"
"257","312","800","4"
"258","313","1000","34"
"259","314","1300","39"
"260","315","200","42"
"261","316","900","43"
"262","316","100","28"
"263","317","1800","30"
"264","318","200","34"
"265","319","500","39"
"266","320","800","43"
"267","321","2050","30"
"268","322","800","31"
"269","323","600","4"
"270","324","500","39"
"271","325","1000","43"
"272","326","800","31"
"273","327","40","45"
"274","328","800","4"
"275","329","1400","34"
"276","330","350","39"
"277","331","1300","43"
"278","332","600","4"
"279","333","2600","33"
"280","334","2250","30"
"281","335","1800","17"
"282","336","600","4"
"283","337","300","42"
"284","338","500","30"
"285","339","1100","31"
"286","340","1200","17"
"287","341","500","4"
"288","342","1500","34"
"289","343","360","39"
"290","344","1200","30"
"291","345","100","45"
"292","346","950","4"
"293","347","2300","33"
"294","348","4200","43"
"295","349","900","44"
"296","350","200","39"
"297","351","300","41"
"298","352","600","42"
"299","353","1100","43"
"300","354","50","17"
"301","355","650","4"
"302","356","2000","34"
"303","357","600","39"
"304","358","400","41"
"305","359","200","43"
"306","360","500","31"
"307","361","550","4"
"308","362","2600","34"
"309","363","1050","39"
"310","364","300","41"
"311","365","1000","43"
"312","366","500","44"
"313","367","700","31"
"314","368","1000","34"
"315","370","1400","39"
"316","371","1600","43"
"317","372","50","44"
"318","373","250","30"
"319","374","57","32"
"320","375","25","45"
"321","376","1300","34"
"322","377","800","39"
"323","378","1300","43"
"324","379","1600","31"
"325","380","400","45"
"326","381","500","33"
"327","382","100","34"
"328","383","450","38"
"329","384","400","39"
"330","385","900","43"
"331","386","550","30"
"332","387","400","31"
"333","388","550","45"
"334","389","850","4"
"335","390","800","33"
"336","391","300","38"
"337","392","800","39"
"338","393","100","41"
"339","394","100","42"
"340","395","200","43"
"341","396","150","4"
"342","397","3200","33"
"343","398","300","38"
"344","399","440","39"
"345","400","2400","43"
"346","401","600","30"
"347","402","1000","31"
"348","404","100","33"
"349","405","150","38"
"350","406","1700","43"
"351","407","350","44"
"352","408","1850","30"
"353","409","500","45"
"354","410","2000","43"
"355","411","800","44"
"356","412","1200","30"
"357","413","400","45"
"358","414","214","4"
"359","415","173","33"
"360","416","1200","43"
"361","417","500","44"
"362","418","1700","30"
"363","419","100","45"
"364","420","900","43"
"365","421","600","44"
"366","422","850","30"
"367","423","500","45"
"368","424","1400","43"
"369","425","700","44"
"370","426","250","31"
"371","427","750","45"
"372","428","600","43"
"373","429","300","44"
"374","430","550","30"
"375","431","600","31"
"376","432","800","45"
"377","433","750","43"
"378","434","1100","44"
"379","435","300","30"
"380","436","550","45"
"381","437","150","17"
"382","438","300","47"
"383","439","1100","43"
"384","440","1500","30"
"385","441","50","31"
"386","442","650","45"
"387","443","400","47"
"388","444","1450","43"
"389","445","500","44"
"390","446","1500","30"
"391","447","150","43"
"392","448","600","44"
"393","449","1500","30"
"394","450","1750","45"
"395","451","3000","30"
"396","452","750","45"
"397","453","75","38"
"398","454","400","46"
"399","455","2700","43"
"400","456","700","44"
"401","458","1650","43"
"402","459","800","44"
"403","460","700","30"
"404","461","600","45"
"405","462","1100","43"
"406","463","50","44"
"407","464","2200","30"
"408","465","200","45"
"409","466","750","48"
"410","467","10","49"
"411","468","1800","43"
"412","469","1500","48"
"413","470","1200","43"
"414","471","100","31"
"415","472","75","48"
"416","473","500","49"
"417","474","1100","43"
"418","475","200","30"
"419","476","375","48"
"420","477","500","49"
"421","478","200","43"
"422","479","1500","45"
"423","480","225","48"
"424","481","1000","49"
"425","482","900","50"
"426","483","300","52"
"427","484","200","45"
"428","485","950","49"
"429","486","675","50"
"430","487","1700","43"
"431","488","50","44"
"432","489","1500","48"
"433","490","200","49"
"434","491","800","51"
"435","492","900","43"
"436","493","300","49"
"437","494","600","51"
"438","495","1500","43"
"439","496","1500","52"
"440","497","135","45"
