"id","user_id","role_id","assigned_by","assigned_at","description","status","tags","created_by","created_at","updated_at","deleted_at"
"1","1","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"2","2","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"3","3","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"4","4","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"5","5","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"6","6","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"7","7","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"8","8","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"9","9","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"10","10","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"11","11","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"12","12","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"13","13","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"14","14","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"15","15","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"16","16","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"17","17","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"18","18","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"19","19","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"20","20","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"21","21","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"22","22","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"23","23","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"24","24","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"25","25","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"26","26","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"27","27","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"28","28","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"29","29","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"30","30","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"31","31","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"32","32","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"33","33","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"34","34","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"35","35","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"36","36","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"37","37","10","","","","",NULL,"","2025-10-21 13:50:31","",""
"38","38","3","","","","",NULL,"","2025-10-21 13:50:31","",""
"39","39","4","","","","",NULL,"","2025-10-21 13:50:31","",""
"40","40","5","","","","",NULL,"","2025-10-21 13:50:31","",""
"41","41","6","","","","",NULL,"","2025-10-21 13:50:31","",""
"42","42","7","","","","",NULL,"","2025-10-21 13:50:31","",""
"43","43","12","","","","",NULL,"","2025-10-21 13:50:31","",""
"44","44","13","","","","",NULL,"","2025-10-21 13:50:31","",""
"45","45","11","","","","",NULL,"","2025-10-21 13:50:31","",""
