"id","name","status","tags","description","created_by","created_at","updated_at","deleted_at"
"1","admin","",NULL,"","","2025-10-21 13:47:27","",""
"2","viewer","",NULL,"","","2025-10-21 13:47:27","",""
"3","sales manager","",NULL,"","","2025-10-21 13:47:27","",""
"4","industerial engineer","",NULL,"","","2025-10-21 13:47:27","",""
"5","planning manager","",NULL,"","","2025-10-21 13:47:27","",""
"6","warehouse manager","",NULL,"","","2025-10-21 13:47:27","",""
"7","CEO","",NULL,"","","2025-10-21 13:47:27","",""
"8","guest","",NULL,"","","2025-10-21 13:47:27","",""
"9","editor","",NULL,"","","2025-10-21 13:47:27","",""
"10","worker","",NULL,"","","2025-10-21 13:47:27","",""
"11","tazrigh-injection foreman","",NULL,"","","2025-10-21 13:47:27","",""
"12","tazrigh-press foreman","",NULL,"","","2025-10-21 13:47:27","",""
"13","tazrigh-QC foreman","",NULL,"","","2025-10-21 13:47:27","",""
